,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
"('Love Galore (feat. Travis Scott)', 'SZA')",0.111,0.795,275080,0.594,R&B,0,0,0.162,-6.2,1,0.0747,135.002,4,0.409
"('The Weekend', 'SZA')",0.241,0.487,272187,0.366,R&B,0,8,0.126,-9.405,0,0.0531,68.191,5,0.161
"('Broken Clocks', 'SZA')",0.13,0.684,231253,0.683,R&B,0,6,0.156,-7.366,1,0.177,112.856,4,0.406
"('Power is Power (feat. The Weeknd & Travis Scott)', 'SZA')",0.00413,0.507,211267,0.644,R&B,0,4,0.217,-7.485,1,0.0641,179.913,4,0.172
"('I Do (feat. SZA)', 'SZA')",0.27,0.886,200205,0.473,R&B,2.58e-05,7,0.0864,-7.338,0,0.255,135.065,4,0.438
"('Garden (Say It Like Dat)', 'SZA')",0.0705,0.727,208400,0.456,R&B,0,9,0.124,-7.26,1,0.285,111.331,4,0.548
"('Drew Barrymore', 'SZA')",0.493,0.578,231400,0.523,R&B,0,0,0.147,-5.538,0,0.0429,134.931,4,0.29
"('Always Be My Baby', 'Mariah Carey')",0.457,0.649,258133,0.531,R&B,0,4,0.249,-8.335,1,0.0363,78.946,4,0.488
"('Hero', 'Mariah Carey')",0.735,0.501,257733,0.378,R&B,0,4,0.119,-9.37,1,0.029,119.987,4,0.178
"('We Belong Together', 'Mariah Carey')",0.0339,0.837,201400,0.462,R&B,0,0,0.09,-7.89,1,0.0601,139.986,4,0.762
"('Fantasy', 'Mariah Carey')",0.139,0.671,243493,0.727,R&B,0,7,0.123,-7.585,1,0.035,102.358,4,0.801
"('Without You', 'Mariah Carey')",0.323,0.576,213667,0.526,R&B,2.01e-06,6,0.0548,-8.524,1,0.0325,122.06,4,0.147
"('One Sweet Day', 'Mariah Carey')",0.353,0.569,281067,0.495,R&B,0,1,0.0839,-8.964,1,0.03,128.228,4,0.302
"('Obsessed', 'Mariah Carey')",0.0465,0.742,242200,0.468,R&B,0,10,0.826,-5.557,0,0.0625,86.443,4,0.369
"('I Know What You Want (feat. Flipmode Squad)', 'Mariah Carey')",0.0142,0.648,324307,0.759,R&B,0,6,0.648,-4.315,1,0.306,85.996,4,0.518
"('Touch My Body', 'Mariah Carey')",0.0996,0.715,204733,0.665,R&B,0,4,0.224,-7.736,0,0.0502,78.502,4,0.84
"('All I Want for Christmas Is You', 'Mariah Carey')",0.164,0.335,241107,0.625,R&B,0,7,0.0708,-7.462,1,0.0386,150.277,4,0.346
"('Slide', 'H.E.R.')",0.0807,0.827,238321,0.469,R&B,8.12e-06,10,0.207,-9.141,0,0.341,97.028,4,0.196
"('Best Part (feat. Daniel Caesar)', 'H.E.R.')",0.795,0.473,209400,0.371,R&B,0.0,4,0.109,-10.219,0,0.0405,75.208,4,0.413
"('Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)', 'H.E.R.')",0.0145,0.815,296011,0.513,R&B,0.000102,1,0.14,-8.363,1,0.244,96.982,4,0.17
"(""Could've Been (feat. Bryson Tiller)"", 'H.E.R.')",0.654,0.455,252747,0.352,R&B,3.72e-06,1,0.249,-11.733,0,0.25,103.342,4,0.407
"('Wrong Places (from Songland)', 'H.E.R.')",0.224,0.548,197727,0.457,R&B,8.32e-05,4,0.11,-7.626,1,0.0691,175.659,4,0.494
"('Comfortable', 'H.E.R.')",0.632,0.429,255066,0.399,R&B,3.23e-05,5,0.087,-11.679,0,0.0893,72.487,4,0.353
"('Slow Down (with H.E.R.)', 'H.E.R.')",0.0409,0.683,195067,0.715,R&B,1.72e-06,11,0.0935,-6.024,0,0.0789,99.989,4,0.77
"('Hard Place', 'H.E.R.')",0.179,0.614,271733,0.719,R&B,1.72e-05,9,0.163,-4.694,1,0.0955,160.075,4,0.34
"('This Way', 'H.E.R.')",0.694,0.62,211205,0.282,R&B,0.0,5,0.119,-10.533,0,0.0464,124.609,3,0.193
"('Focus', 'H.E.R.')",0.255,0.415,200133,0.313,R&B,1.4e-05,1,0.117,-12.945,0,0.0561,84.953,4,0.0875
"('Girls Need Love (with Drake) - Remix', 'Summer Walker')",0.443,0.656,222374,0.432,R&B,0,6,0.132,-9.481,0,0.217,97.022,4,0.0897
"('Playing Games (with Bryson Tiller) - Extended Version', 'Summer Walker')",0.603,0.726,143227,0.408,R&B,0,11,0.225,-6.606,0,0.0614,115.918,4,0.459
"('Girls Need Love', 'Summer Walker')",0.558,0.645,140760,0.418,R&B,0.0003,6,0.562,-10.065,0,0.29,96.963,4,0.123
"('Eleven (feat. Summer Walker)', 'Summer Walker')",0.133,0.679,206080,0.408,R&B,0.00455,4,0.23,-9.754,0,0.0882,129.079,4,0.151
"('Come Thru (with Usher)', 'Summer Walker')",0.159,0.679,181013,0.728,R&B,0,5,0.107,-3.092,0,0.154,152.001,4,0.46
"('Secret (feat. Summer Walker)', 'Summer Walker')",0.0893,0.727,210462,0.496,R&B,0.00011,5,0.0987,-10.386,0,0.178,130.061,4,0.504
"('Playing Games', 'Summer Walker')",0.7,0.759,143667,0.413,R&B,0,11,0.14,-7.282,0,0.0494,115.893,4,0.403
"(""I'll Kill You (feat. Jhené Aiko)"", 'Summer Walker')",0.427,0.679,179973,0.443,R&B,0,10,0.106,-8.528,0,0.153,104.049,4,0.363
"('Session 32', 'Summer Walker')",0.894,0.574,98027,0.123,R&B,0.00111,1,0.118,-13.959,1,0.196,115.431,3,0.117
"('Something Real (with London On Da Track & Chris Brown)', 'Summer Walker')",0.0564,0.685,183138,0.667,R&B,0,8,0.115,-3.837,1,0.0365,95.518,4,0.643
"('B.S. (feat. H.E.R.)', 'Jhené Aiko')",0.554,0.617,212867,0.525,R&B,1.1e-06,8,0.135,-10.426,0,0.12,135.781,4,0.377
"('P*$$Y Fairy (OTW)', 'Jhené Aiko')",0.536,0.572,181860,0.519,R&B,0.0,2,0.102,-7.092,0,0.212,128.331,4,0.35
"('Sativa', 'Jhené Aiko')",0.315,0.741,276960,0.61,R&B,0.0,6,0.534,-7.34,0,0.0512,125.99,4,0.72
"('Triggered (freestyle)', 'Jhené Aiko')",0.799,0.485,209933,0.389,R&B,0.0,0,0.146,-10.765,1,0.298,93.175,4,0.391
"('Happiness Over Everything (H.O.E.) (feat. Future & Miguel)', 'Jhené Aiko')",0.131,0.415,188160,0.674,R&B,0.0,1,0.202,-8.134,0,0.335,134.769,4,0.867
"(""While We're Young"", 'Jhené Aiko')",0.107,0.454,236160,0.791,R&B,2.1e-06,2,0.108,-6.013,1,0.335,127.638,4,0.791
"('None Of Your Concern (feat. Big Sean)', 'Jhené Aiko')",0.856,0.437,259387,0.517,R&B,0.0,9,0.109,-9.329,0,0.225,82.757,4,0.373
"('The Worst', 'Jhené Aiko')",0.253,0.539,254493,0.414,R&B,1.3e-06,1,0.143,-9.156,0,0.0601,94.895,4,0.123
"('My Type (feat. City Girls & Jhené Aiko) - Remix', 'Jhené Aiko')",0.00782,0.925,172314,0.904,R&B,0.0,2,0.109,-3.362,1,0.201,105.02,4,0.758
"('Never Call Me', 'Jhené Aiko')",0.874,0.484,270547,0.309,R&B,1.29e-06,2,0.101,-10.238,0,0.213,99.424,3,0.13
"('Blinding Lights', 'The Weeknd')",0.00146,0.514,200040,0.73,R&B,9.54e-05,1,0.0897,-5.934,1,0.0598,171.005,4,0.334
"('In Your Eyes', 'The Weeknd')",0.00285,0.667,237520,0.719,R&B,8.1e-05,7,0.0736,-5.371,0,0.0346,100.021,4,0.717
"('After Hours', 'The Weeknd')",0.0811,0.664,361027,0.572,R&B,0.00604,5,0.121,-6.099,0,0.0305,108.959,4,0.143
"('Heartless', 'The Weeknd')",0.0236,0.537,198267,0.746,R&B,1.01e-06,10,0.156,-5.507,0,0.15,170.062,4,0.252
"('Starboy', 'The Weeknd')",0.141,0.679,230453,0.587,R&B,6.35e-06,7,0.137,-7.015,1,0.276,186.003,4,0.486
"('The Hills', 'The Weeknd')",0.0671,0.585,242253,0.564,R&B,0.0,0,0.135,-7.063,0,0.0515,113.003,4,0.137
"('Call Out My Name', 'The Weeknd')",0.17,0.461,228373,0.593,R&B,0.0,1,0.307,-4.954,1,0.0356,134.17,3,0.175
"('Save Your Tears', 'The Weeknd')",0.0212,0.68,215627,0.826,R&B,1.24e-05,0,0.543,-5.487,1,0.0309,118.051,4,0.644
"('I Feel It Coming', 'The Weeknd')",0.426,0.773,269187,0.819,R&B,0.0,0,0.0679,-5.946,0,0.118,92.99,4,0.585
"(""Can't Feel My Face"", 'The Weeknd')",0.113,0.705,213520,0.769,R&B,0.0,9,0.105,-5.526,0,0.0425,107.949,4,0.583
"('Yeah! (feat. Lil Jon & Ludacris)', 'Usher')",0.0183,0.894,250373,0.791,R&B,0,2,0.0388,-4.699,1,0.112,105.018,4,0.583
"(""DJ Got Us Fallin' In Love (feat. Pitbull)"", 'Usher')",0.0338,0.663,220800,0.861,R&B,0,7,0.082,-3.398,0,0.109,119.963,4,0.654
"('Come Thru (with Usher)', 'Usher')",0.159,0.679,181013,0.728,R&B,0,5,0.107,-3.092,0,0.154,152.001,4,0.46
"('My Boo', 'Usher')",0.257,0.662,223440,0.507,R&B,0,5,0.0465,-8.238,1,0.118,86.412,4,0.676
"('U Remind Me', 'Usher')",0.194,0.657,266893,0.629,R&B,0,6,0.254,-4.938,1,0.0782,93.985,4,0.726
"('OMG (feat. will.i.am)', 'Usher')",0.198,0.781,269493,0.745,R&B,1.14e-05,4,0.36,-5.81,0,0.0332,129.998,4,0.326
"(""I Don't Mind (feat. Juicy J)"", 'Usher')",0.205,0.87,251989,0.464,R&B,0,4,0.0902,-8.337,1,0.178,112.974,4,0.457
"('U Got It Bad', 'Usher')",0.0227,0.816,247840,0.5,R&B,1.53e-06,1,0.0733,-4.551,1,0.03,124.037,4,0.649
"(""Don't Waste My Time (feat. Ella Mai)"", 'Usher')",0.125,0.701,199720,0.778,R&B,0,2,0.0828,-5.076,1,0.201,99.956,4,0.609
"('Love in This Club (feat. Young Jeezy)', 'Usher')",0.0572,0.573,259720,0.712,R&B,0,0,0.167,-5.976,1,0.0732,140.012,4,0.346
"('Remember Me', 'UMI')",0.456,0.84,199227,0.344,R&B,3.36e-05,5,0.35,-8.613,0,0.0374,111.994,4,0.526
"('Love Affair', 'UMI')",0.129,0.613,190960,0.488,R&B,2.13e-05,8,0.335,-7.372,1,0.0959,172.067,4,0.183
"('Butterfly', 'UMI')",0.255,0.785,160500,0.27,R&B,0.00132,5,0.0953,-14.457,1,0.0892,131.894,4,0.12
"('Mother', 'UMI')",0.823,0.366,189012,0.452,R&B,0.000126,1,0.0633,-11.88,1,0.197,168.642,4,0.119
"('Down to Earth', 'UMI')",0.236,0.609,201933,0.335,R&B,0.0,0,0.0595,-9.378,1,0.0372,85.077,4,0.342
"('River', 'UMI')",0.851,0.632,201143,0.274,R&B,0.0,8,0.108,-9.413,1,0.0321,96.839,4,0.146
"('Introspection', 'UMI')",0.245,0.613,168907,0.428,R&B,0.0,0,0.254,-9.064,1,0.0514,105.09,4,0.352
"('Play Too Much', 'UMI')",0.456,0.877,197205,0.452,R&B,4.37e-06,9,0.139,-5.773,0,0.0898,110.021,4,0.89
"('Midnight Blues', 'UMI')",0.965,0.763,147304,0.494,R&B,0.00173,11,0.173,-6.857,0,0.0487,88.011,4,0.347
"('Open Up', 'UMI')",0.19,0.608,171600,0.674,R&B,8.46e-05,7,0.101,-6.605,0,0.114,88.985,4,0.66
"('In A Sentimental Mood', 'John Coltrane')",0.936,0.464,255227,0.305,Jazz,0.0846,3,0.208,-12.435,0,0.0316,108.229,4,0.282
"('My Little Brown Book', 'John Coltrane')",0.942,0.372,319733,0.187,Jazz,0.139,0,0.161,-13.497,0,0.0323,70.334,4,0.217
"('My One And Only Love', 'John Coltrane')",0.988,0.461,296667,0.0546,Jazz,0.208,0,0.126,-18.982,1,0.0362,128.91,4,0.23
"('Naima', 'John Coltrane')",0.948,0.303,258266,0.0141,Jazz,0.0944,10,0.0792,-19.759,0,0.0418,171.439,3,0.157
"('Blue Train - Remastered 2003', 'John Coltrane')",0.798,0.506,644013,0.493,Jazz,0.00355,8,0.307,-7.759,1,0.0427,134.77,4,0.584
"('My Favorite Things', 'John Coltrane')",0.694,0.277,824133,0.242,Jazz,0.464,4,0.113,-18.442,1,0.0342,175.384,3,0.285
"('Blue World', 'John Coltrane')",0.732,0.477,368253,0.733,Jazz,0.0756,8,0.153,-8.301,1,0.0682,120.42,3,0.385
"(""I'm Old Fashioned - Remastered 2003/Rudy Van Gelder Edition"", 'John Coltrane')",0.931,0.394,477760,0.23,Jazz,0.497,3,0.0662,-10.475,1,0.0348,78.319,4,0.358
"('Giant Steps', 'John Coltrane')",0.441,0.431,283440,0.491,Jazz,0.000458,0,0.134,-10.746,0,0.0562,148.243,4,0.577
"(""I'll Wait and Pray"", 'John Coltrane')",0.89,0.475,206360,0.0588,Jazz,0.0238,5,0.129,-17.464,0,0.0418,115.642,4,0.241
"('Blue in Green', 'Miles Davis')",0.81,0.421,337733,0.0161,Jazz,0.0021,2,0.0978,-25.358,0,0.0374,110.926,4,0.16
"('So What', 'Miles Davis')",0.705,0.517,562640,0.151,Jazz,0.00136,0,0.116,-17.266,1,0.0373,136.356,4,0.21
"('Flamenco Sketches', 'Miles Davis')",0.899,0.349,566133,0.0219,Jazz,0.12,2,0.0906,-21.065,0,0.0425,177.92,3,0.224
"(""'Round Midnight"", 'Miles Davis')",0.79,0.495,355333,0.182,Jazz,0.000368,10,0.129,-11.116,0,0.0467,112.89,4,0.203
"('Stella By Starlight', 'Miles Davis')",0.912,0.485,284560,0.144,Jazz,0.000114,10,0.0965,-12.824,1,0.0362,86.143,4,0.246
"('Milestones', 'Miles Davis')",0.442,0.553,342067,0.546,Jazz,0.000514,9,0.167,-7.459,0,0.0341,118.215,4,0.7
"('Freddie Freeloader', 'Miles Davis')",0.703,0.638,586400,0.186,Jazz,0.00103,8,0.118,-15.831,1,0.0347,128.372,4,0.498
"('Générique - BOF ""Ascenseur pour l\'échafaud""', 'Miles Davis')",0.974,0.391,168512,0.114,Jazz,0.949,2,0.183,-11.506,0,0.0329,70.197,4,0.139
"('All Blues', 'Miles Davis')",0.771,0.508,692747,0.149,Jazz,0.00474,0,0.115,-18.305,1,0.0313,139.444,3,0.365
"('Rubberband of Life (feat. Ledisi)', 'Miles Davis')",0.0395,0.721,344011,0.698,Jazz,0.0025,1,0.502,-5.791,1,0.0677,90.354,4,0.795
"('In A Sentimental Mood', 'Duke Ellington')",0.936,0.464,255227,0.305,Jazz,0.0846,3,0.208,-12.435,0,0.0316,108.229,4,0.282
"('My Little Brown Book', 'Duke Ellington')",0.942,0.372,319733,0.187,Jazz,0.139,0,0.161,-13.497,0,0.0323,70.334,4,0.217
"('Take the ""A"" Train', 'Duke Ellington')",0.278,0.479,331800,0.318,Jazz,0.0959,0,0.107,-13.836,1,0.0395,94.036,4,0.575
"('Haupe', 'Duke Ellington')",0.905,0.415,156307,0.0187,Jazz,0.194,10,0.0979,-20.209,1,0.0363,111.42,4,0.14
"('Jack the Bear', 'Duke Ellington')",0.466,0.533,199413,0.28,Jazz,9.83e-05,1,0.344,-12.809,1,0.0653,78.352,4,0.61
"(""The Single Petal Of A Rose - The Queen's Suite"", 'Duke Ellington')",0.991,0.331,244933,0.0294,Jazz,0.883,3,0.107,-22.342,0,0.0445,85.674,4,0.0475
"('Isfahan', 'Duke Ellington')",0.975,0.247,245880,0.072,Jazz,0.631,8,0.101,-13.544,1,0.032,173.372,3,0.0872
"(""It Don't Mean a Thing (If It Ain't Got That Swing)"", 'Duke Ellington')",0.543,0.714,240040,0.226,Jazz,0.0255,7,0.593,-13.247,0,0.197,96.247,4,0.545
"('Take The Coltrane', 'Duke Ellington')",0.199,0.433,282600,0.631,Jazz,0.0,5,0.271,-9.381,1,0.0458,129.493,4,0.654
"('Azalea', 'Duke Ellington')",0.6,0.676,303173,0.113,Jazz,1.56e-05,5,0.0696,-17.238,1,0.055,71.11,4,0.233
"('Take Five', 'Dave Brubeck')",0.846,0.437,324173,0.197,Jazz,0.411,8,0.0842,-19.523,0,0.0414,173.152,5,0.743
"('Besame Mucho', 'Dave Brubeck')",0.881,0.637,358693,0.257,Jazz,0.706,10,0.975,-17.527,0,0.0549,126.544,4,0.304
"('Unsquare Dance', 'Dave Brubeck')",0.0722,0.685,119733,0.608,Jazz,0.944,7,0.0923,-14.799,1,0.175,116.951,4,0.565
"('Audrey', 'Dave Brubeck')",0.965,0.668,212693,0.0829,Jazz,0.101,10,0.106,-16.429,0,0.0392,96.553,4,0.585
"('Bossa Nova U.S.A.', 'Dave Brubeck')",0.554,0.619,144160,0.359,Jazz,0.0115,5,0.0752,-19.488,1,0.0514,106.037,4,0.779
"('Blue Rondo à la Turk', 'Dave Brubeck')",0.846,0.59,406133,0.397,Jazz,0.254,7,0.116,-12.031,0,0.0375,113.473,4,0.436
"('Take Five - Studio Rio Version', 'Dave Brubeck')",0.386,0.62,174573,0.666,Jazz,3.85e-06,7,0.249,-7.676,0,0.0385,163.0,5,0.894
"('Ode To A Cowboy', 'Dave Brubeck')",0.798,0.583,301080,0.184,Jazz,0.377,5,0.116,-17.787,0,0.0395,138.243,4,0.635
"('My Favorite Things - Remastered', 'Dave Brubeck')",0.513,0.424,173600,0.312,Jazz,0.727,9,0.0854,-18.296,0,0.035,109.043,4,0.435
"(""I'm in a Dancing Mood"", 'Dave Brubeck')",0.599,0.46,179333,0.435,Jazz,0.161,7,0.0878,-12.681,0,0.0315,139.684,4,0.58
"('Cantaloupe Island - Remastered 1999 / Rudy Van Gelder Edition', 'Herbie Hancock')",0.749,0.515,333947,0.583,Jazz,0.000294,0,0.123,-8.182,0,0.0284,116.134,4,0.415
"('Watermelon Man', 'Herbie Hancock')",0.262,0.724,388960,0.414,Jazz,0.111,1,0.0785,-11.19,1,0.0588,146.939,4,0.719
"(""Doin' It"", 'Herbie Hancock')",0.109,0.739,482720,0.882,Jazz,0.684,11,0.0185,-11.946,0,0.0539,98.424,4,0.941
"('Chameleon', 'Herbie Hancock')",0.104,0.581,941360,0.672,Jazz,0.856,8,0.0458,-8.279,1,0.0602,111.154,4,0.808
"('Tell Me a Bedtime Story', 'Herbie Hancock')",0.713,0.398,301867,0.527,Jazz,0.934,4,0.119,-16.591,0,0.0297,118.504,4,0.353
"('Rockit', 'Herbie Hancock')",0.0317,0.878,325133,0.951,Jazz,0.544,7,0.0614,-5.077,1,0.069,111.334,4,0.607
"('Maiden Voyage - Remastered 1999/Rudy Van Gelder Edition', 'Herbie Hancock')",0.718,0.468,477093,0.459,Jazz,0.00323,0,0.0944,-9.706,0,0.0305,124.346,4,0.179
"('Watermelon Man - Remastered 2007', 'Herbie Hancock')",0.728,0.612,429267,0.526,Jazz,0.033,0,0.183,-8.558,0,0.0272,129.326,4,0.595
"('I Thought It Was You', 'Herbie Hancock')",0.394,0.729,535293,0.787,Jazz,0.0514,1,0.112,-11.38,1,0.047,116.21,4,0.717
"('Alone And I - Remastered 2007', 'Herbie Hancock')",0.98,0.411,389773,0.0681,Jazz,0.949,6,0.0971,-17.935,0,0.0332,101.996,4,0.057
"('When Sunny Gets Blue', 'McCoy Tyner')",0.843,0.427,282320,0.114,Jazz,0.863,2,0.0966,-22.546,0,0.0509,60.484,4,0.114
"('Search For Peace', 'McCoy Tyner')",0.938,0.456,392000,0.222,Jazz,0.806,0,0.24,-16.879,1,0.0354,112.725,4,0.15
"('Groove Waltz', 'McCoy Tyner')",0.747,0.477,331133,0.3,Jazz,0.656,5,0.0752,-16.749,1,0.0492,91.109,3,0.467
"('Contemplation', 'McCoy Tyner')",0.48,0.397,552493,0.534,Jazz,2.84e-05,0,0.0434,-11.346,0,0.031,102.372,3,0.468
"('Passion Dance', 'McCoy Tyner')",0.437,0.473,527427,0.771,Jazz,0.0,1,0.113,-8.653,1,0.0457,118.942,4,0.474
"('Satin Doll', 'McCoy Tyner')",0.861,0.706,339867,0.245,Jazz,0.938,0,0.102,-17.225,1,0.0521,119.828,4,0.442
"('Autumn Leaves', 'McCoy Tyner')",0.877,0.589,370000,0.157,Jazz,0.844,0,0.137,-22.414,0,0.0485,110.939,4,0.696
"('Blues On The Corner', 'McCoy Tyner')",0.619,0.461,360133,0.626,Jazz,0.0,5,0.17,-9.44,0,0.0433,117.364,4,0.523
"('Contemporary Focus', 'McCoy Tyner')",0.299,0.413,508280,0.598,Jazz,0.0,5,0.0599,-9.567,0,0.0697,177.509,3,0.595
"('Four By Five', 'McCoy Tyner')",0.453,0.393,397293,0.717,Jazz,0.0,11,0.0914,-9.278,0,0.043,135.998,4,0.7
"('L-O-V-E', 'Nat King Cole')",0.679,0.425,155307,0.373,Jazz,0,4,0.077,-7.543,1,0.0797,78.225,4,0.663
"('Unforgettable', 'Nat King Cole')",0.92,0.349,191973,0.182,Jazz,0.0152,5,0.143,-13.507,1,0.031,136.094,3,0.178
"('Smile', 'Nat King Cole')",0.862,0.226,173267,0.136,Jazz,8.07e-06,5,0.302,-19.203,0,0.0327,79.37,5,0.263
"('When I Fall In Love - Remastered', 'Nat King Cole')",0.814,0.243,191200,0.171,Jazz,0.00523,1,0.102,-17.543,1,0.037,126.599,4,0.0897
"('Orange Colored Sky', 'Nat King Cole')",0.92,0.535,153867,0.24,Jazz,0,10,0.111,-15.198,1,0.085,128.547,4,0.49
"('Let There Be Love', 'Nat King Cole')",0.853,0.676,165973,0.19,Jazz,0.000472,0,0.085,-16.696,1,0.0482,120.093,4,0.233
"('Stardust', 'Nat King Cole')",0.85,0.188,194040,0.0767,Jazz,0.000137,7,0.189,-24.695,1,0.037,76.22,3,0.146
"('(I Love You) For Sentimental Reasons', 'Nat King Cole')",0.977,0.41,184467,0.0418,Jazz,0.0137,1,0.117,-24.754,1,0.035,67.882,4,0.247
"('The Girl From Ipanema', 'Nat King Cole')",0.707,0.469,174773,0.382,Jazz,0,7,0.434,-10.47,1,0.0448,118.989,4,0.468
"('Mona Lisa', 'Nat King Cole')",0.952,0.241,194987,0.237,Jazz,0,1,0.113,-12.201,1,0.0371,174.578,3,0.303
"(""'Round Midnight"", 'Thelonious Monk')",0.907,0.542,193840,0.32,Jazz,0.649,8,0.0609,-9.975,1,0.0387,116.648,4,0.206
"(""I'm Confessin' (That I Love You)"", 'Thelonious Monk')",0.965,0.624,157027,0.359,Jazz,0.905,1,0.101,-9.457,1,0.0521,104.357,4,0.206
"('Straight, No Chaser', 'Thelonious Monk')",0.41,0.465,688133,0.35,Jazz,0.279,3,0.135,-12.977,1,0.0403,93.336,4,0.62
"(""Monk's Dream - Take 8"", 'Thelonious Monk')",0.572,0.698,385467,0.278,Jazz,0.0233,5,0.105,-15.425,1,0.0508,81.079,4,0.77
"('Ruby, My Dear', 'Thelonious Monk')",0.959,0.461,381520,0.131,Jazz,0.885,10,0.187,-14.808,1,0.0295,65.902,4,0.109
"('Locomotive', 'Thelonious Monk')",0.784,0.671,400427,0.439,Jazz,0.145,8,0.13,-11.181,1,0.0408,112.208,4,0.7
"('Body and Soul', 'Thelonious Monk')",0.935,0.513,268400,0.292,Jazz,0.886,1,0.0669,-16.83,1,0.065,105.141,1,0.229
"('Leap Frog - Take 11 / Take 6 / Master Take', 'Thelonious Monk')",0.441,0.562,157307,0.728,Jazz,3.33e-05,5,0.351,-9.14,1,0.0984,78.205,4,0.731
"('Eronel', 'Thelonious Monk')",0.525,0.487,270133,0.354,Jazz,0.000273,9,0.0958,-13.884,0,0.0417,177.572,4,0.736
"('Stuffy Turkey', 'Thelonious Monk')",0.448,0.463,490933,0.367,Jazz,0.00111,1,0.091,-14.663,1,0.0415,165.534,4,0.622
"('Highway to Hell', 'AC/DC')",0.0591,0.573,208400,0.913,Rock,0.00173,6,0.156,-4.793,0,0.132,115.715,4,0.422
"('Back In Black', 'AC/DC')",0.011,0.31,255493,0.7,Rock,0.00965,9,0.0828,-5.678,1,0.047,188.386,4,0.763
"('Thunderstruck', 'AC/DC')",0.000147,0.501,292880,0.889,Rock,0.0114,4,0.217,-5.175,1,0.0364,133.519,4,0.257
"('You Shook Me All Night Long', 'AC/DC')",0.00287,0.532,210173,0.767,Rock,0.000513,7,0.39,-5.509,1,0.0574,127.361,4,0.755
"('T.N.T.', 'AC/DC')",0.153,0.754,214667,0.759,Rock,0.000114,9,0.101,-5.218,1,0.302,126.367,4,0.435
"('Dirty Deeds Done Dirt Cheap', 'AC/DC')",0.214,0.668,231933,0.906,Rock,0.00229,11,0.135,-4.881,0,0.17,135.653,4,0.507
"('Shoot to Thrill', 'AC/DC')",0.000239,0.457,317427,0.904,Rock,0.0879,2,0.396,-5.303,1,0.0747,141.038,4,0.48
"('Hells Bells', 'AC/DC')",0.00532,0.389,312293,0.873,Rock,0.0055,4,0.273,-4.768,0,0.0475,106.767,4,0.303
"(""It's a Long Way to the Top (If You Wanna Rock 'N' Roll)"", 'AC/DC')",0.133,0.456,301227,0.863,Rock,0.0545,3,0.0553,-3.551,1,0.0894,135.966,4,0.532
"('Rock N Roll Train', 'AC/DC')",0.000998,0.547,261507,0.931,Rock,0.0118,2,0.278,-2.356,1,0.0615,118.4,4,0.697
"('Paint It, Black', 'The Rolling Stones')",0.0493,0.464,202267,0.795,Rock,0.00244,1,0.399,-9.267,1,0.0926,158.691,4,0.612
"('Start Me Up - Remastered', 'The Rolling Stones')",0.0436,0.631,213067,0.932,Rock,0.137,5,0.0918,-4.142,1,0.0354,122.429,4,0.971
"(""(I Can't Get No) Satisfaction - Mono Version"", 'The Rolling Stones')",0.0383,0.723,222813,0.863,Rock,0.0317,2,0.128,-7.89,1,0.0338,136.302,4,0.931
"('Gimme Shelter', 'The Rolling Stones')",0.447,0.634,270773,0.63,Rock,0.039,1,0.17,-8.277,0,0.031,118.628,4,0.489
"('Sympathy For The Devil - 50th Anniversary Edition', 'The Rolling Stones')",0.518,0.702,378147,0.668,Rock,0.0,9,0.0588,-9.237,1,0.214,116.063,4,0.561
"('Beast Of Burden - Remastered', 'The Rolling Stones')",0.39,0.783,265173,0.878,Rock,0.000778,1,0.0426,-3.864,0,0.0308,100.626,4,0.885
"('Wild Horses - 2009 Mix', 'The Rolling Stones')",0.687,0.432,341773,0.389,Rock,0.0107,7,0.0788,-6.517,1,0.0255,139.506,4,0.158
"('Angie', 'The Rolling Stones')",0.67,0.429,272000,0.554,Rock,0.000152,9,0.105,-6.128,0,0.0291,136.302,4,0.407
"('Brown Sugar - 2009 Mix', 'The Rolling Stones')",0.219,0.633,228667,0.934,Rock,0.00021,0,0.0592,-3.594,1,0.0344,128.606,4,0.963
"('Living In A Ghost Town', 'The Rolling Stones')",0.0148,0.679,247011,0.697,Rock,0.0119,4,0.124,-5.369,0,0.0454,110.558,4,0.776
"('Paranoid - 2016 Remaster', 'Black Sabbath')",4.52e-05,0.415,168406,0.658,Rock,0.000735,4,0.176,-12.051,0,0.0696,163.015,4,0.45
"('Iron Man - 2014 Remaster', 'Black Sabbath')",0.00349,0.336,355304,0.792,Rock,0.00178,9,0.0437,-10.875,1,0.0848,155.588,4,0.425
"(""War Pigs / Luke's Wall - 2014 Remaster"", 'Black Sabbath')",0.222,0.332,474360,0.623,Rock,0.000883,9,0.278,-12.365,0,0.0803,182.63,4,0.416
"('Children of the Grave - 2014 Remaster', 'Black Sabbath')",0.0802,0.318,317206,0.65,Rock,0.132,6,0.0962,-13.928,1,0.0375,149.994,4,0.368
"('N.I.B.', 'Black Sabbath')",0.0838,0.476,364493,0.556,Rock,1.59e-05,4,0.125,-10.586,0,0.0646,103.122,4,0.43
"('Heaven and Hell - 2008 Remaster', 'Black Sabbath')",0.0239,0.329,419933,0.673,Rock,0.109,3,0.138,-8.465,0,0.0296,91.122,4,0.323
